	Page_ID	Tweet
0	13208	covid vaccine|chaerfilm|Thu Dec 17 10:26:52 +0000 2020||0|0|
1	17805	alaska woman allergic reaction vaccine|HealthcareGlob1|Thu Dec 17 10:07:33 +0000 2020||0|0|https://t.co/ebCDmCpZgB
2	9787	ian mckellen covid|Mark_Ma77|Thu Dec 17 10:41:45 +0000 2020||0|0|https://t.co/ZacMpZiwh9
3	9709	sir ian mckellen euphoric receive covid 19 vaccine|Engekiman|Thu Dec 17 10:42:06 +0000 2020||0|0|https://t.co/amSdwvsxTx
4	8756	sir ian mckellen euphoric receive covid 19 vaccine|listentopure|Thu Dec 17 10:46:10 +0000 2020||0|0|https://t.co/IKbLwOaauf
5	1020	sir ian mckellen euphoric receive covid 19 vaccine|LindaLindae9|Thu Dec 17 11:17:53 +0000 2020||0|0|https://t.co/eK375Na1Bt
6	13576	us angling secure pfizer s coronavirus vaccine|RattlesnakeCre1|Thu Dec 17 10:25:06 +0000 2020||0|0|https://t.co/KiIqEyviSU
7	10391	us angling secure pfizer s coronavirus vaccine|16WAPTNews|Thu Dec 17 10:39:05 +0000 2020||0|1|https://t.co/2jopbdWJJJ
8	9938	us angling secure pfizer s coronavirus vaccine|ksbw|Thu Dec 17 10:41:04 +0000 2020||0|0|https://t.co/uFY4TmPo1c
9	9937	us angling secure pfizer s coronavirus vaccine|wdsu|Thu Dec 17 10:41:04 +0000 2020||0|0|https://t.co/yVqIbmRQW1
10	9708	us angling secure pfizer s coronavirus vaccine|kcranews|Thu Dec 17 10:42:06 +0000 2020||0|0|https://t.co/XkgynLCZnH
11	9470	us angling secure pfizer s coronavirus vaccine|WXII|Thu Dec 17 10:43:06 +0000 2020||0|0|https://t.co/iHZav5aVr3
12	9469	us angling secure pfizer s coronavirus vaccine|wyffnews4|Thu Dec 17 10:43:06 +0000 2020||0|0|https://t.co/nWi3a1TxtD
13	9468	us angling secure pfizer s coronavirus vaccine|KCCINews|Thu Dec 17 10:43:06 +0000 2020||0|0|https://t.co/eWrZwFg23u
14	9467	us angling secure pfizer s coronavirus vaccine|WISN12News|Thu Dec 17 10:43:06 +0000 2020||0|0|https://t.co/UL09jdCjbB
15	8981	us angling secure pfizer s coronavirus vaccine|WLKY|Thu Dec 17 10:45:10 +0000 2020||0|0|https://t.co/9oGjk9E9gr
16	8980	us angling secure pfizer s coronavirus vaccine|WMTWTV|Thu Dec 17 10:45:11 +0000 2020||0|0|https://t.co/vcevGnupbF
17	8979	us angling secure pfizer s coronavirus vaccine|WLWT|Thu Dec 17 10:45:11 +0000 2020||1|1|https://t.co/HG7URUs5Xy
18	8783	us angling secure pfizer s coronavirus vaccine|WPBF25News|Thu Dec 17 10:46:03 +0000 2020||1|0|https://t.co/5wKaIEs8RJ
19	8563	us angling secure pfizer s coronavirus vaccine|WTAE|Thu Dec 17 10:47:05 +0000 2020||0|0|https://t.co/V00rgTZipY
