	Page_ID	Tweet
0	580	jeremyvineon5 hospitals overwhelmed thousands nhs staff ill ppl illness|pwsimerimiaw|Thu Dec 17 11:19:51 +0000 2020||0|0|https://t.co/51asd8d0hn
1	13	georgia hospitals break previous mark covid 19 patients atlantavoice atlantanews|theatlantavoice|Thu Dec 17 11:22:14 +0000 2020|atlantavoice atlantanews |0|0|https://t.co/4ltrMio120
2	647	georgia hospitals break previous mark covid 19 patients atlanta atlantavoice atlantanews|theatlantavoice|Thu Dec 17 11:19:32 +0000 2020|atlanta atlantavoice atlantanews |0|0|https://t.co/8qVtkcppDo
3	581	hospitals reported 110 000 coronavirus patients past two days record count pand|MadHatt25200013|Thu Dec 17 11:19:50 +0000 2020||0|0|https://t.co/P8H8qX2jhm
4	511	three hospitals area receive 975 doses shot they given frontline healthcare wor|12NewsNow|Thu Dec 17 11:20:07 +0000 2020||0|0|https://t.co/8J7IMan84Q
5	592	went covid test week ago didnt get results apparently record getting test lol system fucked|tyjonesx|Thu Dec 17 11:19:46 +0000 2020||1|0|
6	630	gonna miss dekira bc covid test|foxinamovie|Thu Dec 17 11:19:36 +0000 2020||0|0|
7	134	weestigs82 do think go covid test even precaution|Ronan_Devlin|Thu Dec 17 11:21:45 +0000 2020||0|0|
8	849	karachi records highest covid 19 test positivity rate country|HCompany|Thu Dec 17 11:18:38 +0000 2020||0|0|https://t.co/QuJBGMLw7o
9	745	the test taken home provide results within 20 minutes|KFIAM640|Thu Dec 17 11:19:04 +0000 2020||0|0|https://t.co/QcVb0Vr1uE
10	639	hopefully nct members artists staffs test negative covid 19|TAEY0NGCULT|Thu Dec 17 11:19:34 +0000 2020||0|0|https://t.co/qMZ2frWTyN
11	487	hoping seventeen staffs negative results covid test today huhuhuhu|CaratJoeeeeeee|Thu Dec 17 11:20:11 +0000 2020||0|0|
12	812	covid 19 26 nysc members test positive in jigawa orientationcamp|50minds|Thu Dec 17 11:18:49 +0000 2020||0|0|https://t.co/lhOvGlxpBJ
13	712	madpharmacist1 true true especially pcr test protocol deliberately|Die_Diktatur|Thu Dec 17 11:19:12 +0000 2020||0|0|https://t.co/ViSlBHC5mr
14	368	serious question will government writing everyone positive covid test tell|lotharmat|Thu Dec 17 11:20:43 +0000 2020||0|0|https://t.co/FpW1pQpiXY
15	362	well premier never isolated waiting test results said people didnt|tilly64|Thu Dec 17 11:20:44 +0000 2020||0|0|https://t.co/56MxtP96tp
16	350	c r 5 vonderleyen if way record death covid determined test|havingfun73|Thu Dec 17 11:20:46 +0000 2020||0|0|https://t.co/3k6ndNPf3w
17	110	update za that s r850 covid 19 test cost nyising them|Cyza|Thu Dec 17 11:21:49 +0000 2020||0|0|
18	317	costa meant covid test visit guinea bissau sao tome planned happen tomorrow|Manuel_Cavazza|Thu Dec 17 11:20:56 +0000 2020||0|0|
19	989	headwatershcc 1 the pcr tool test detect covid 2 the who dec 15th updat|nunyobidnaz|Thu Dec 17 11:18:03 +0000 2020||0|0|https://t.co/GY4T0r9lJ8
