	Page_ID	Tweet
0	592	went covid test week ago didnt get results apparently record getting test lol system fucked|tyjonesx|Thu Dec 17 11:19:46 +0000 2020||1|0|
1	630	gonna miss dekira bc covid test|foxinamovie|Thu Dec 17 11:19:36 +0000 2020||0|0|
2	134	weestigs82 do think go covid test even precaution|Ronan_Devlin|Thu Dec 17 11:21:45 +0000 2020||0|0|
3	849	karachi records highest covid 19 test positivity rate country|HCompany|Thu Dec 17 11:18:38 +0000 2020||0|0|https://t.co/QuJBGMLw7o
4	745	the test taken home provide results within 20 minutes|KFIAM640|Thu Dec 17 11:19:04 +0000 2020||0|0|https://t.co/QcVb0Vr1uE
5	639	hopefully nct members artists staffs test negative covid 19|TAEY0NGCULT|Thu Dec 17 11:19:34 +0000 2020||0|0|https://t.co/qMZ2frWTyN
6	487	hoping seventeen staffs negative results covid test today huhuhuhu|CaratJoeeeeeee|Thu Dec 17 11:20:11 +0000 2020||0|0|
7	812	covid 19 26 nysc members test positive in jigawa orientationcamp|50minds|Thu Dec 17 11:18:49 +0000 2020||0|0|https://t.co/lhOvGlxpBJ
8	712	madpharmacist1 true true especially pcr test protocol deliberately|Die_Diktatur|Thu Dec 17 11:19:12 +0000 2020||0|0|https://t.co/ViSlBHC5mr
9	368	serious question will government writing everyone positive covid test tell|lotharmat|Thu Dec 17 11:20:43 +0000 2020||0|0|https://t.co/FpW1pQpiXY
10	362	well premier never isolated waiting test results said people didnt|tilly64|Thu Dec 17 11:20:44 +0000 2020||0|0|https://t.co/56MxtP96tp
11	350	c r 5 vonderleyen if way record death covid determined test|havingfun73|Thu Dec 17 11:20:46 +0000 2020||0|0|https://t.co/3k6ndNPf3w
12	110	update za that s r850 covid 19 test cost nyising them|Cyza|Thu Dec 17 11:21:49 +0000 2020||0|0|
13	317	costa meant covid test visit guinea bissau sao tome planned happen tomorrow|Manuel_Cavazza|Thu Dec 17 11:20:56 +0000 2020||0|0|
14	989	headwatershcc 1 the pcr tool test detect covid 2 the who dec 15th updat|nunyobidnaz|Thu Dec 17 11:18:03 +0000 2020||0|0|https://t.co/GY4T0r9lJ8
15	974	fda gives green light rapid at home covid 19 test health experts say a game changer|13NewsNow|Thu Dec 17 11:18:05 +0000 2020||0|1|https://t.co/vMIUAWUBRv
16	232	highest test positivity rate covid 19 cases recorded karachi 16 59 past 24 hours among overa|halaatupdate|Thu Dec 17 11:21:16 +0000 2020||0|0|https://t.co/nDPlZVmbHH
17	27	5 people recover covid 19 sometimes later test positive sars cov 2 suggesting immune systems c|DrEricDing|Thu Dec 17 11:22:09 +0000 2020||0|0|https://t.co/cnpWULhixM
18	668	covid test tuesday came back negative today obviously covid couldnt get layers haggis cheese system|surge2311|Thu Dec 17 11:19:25 +0000 2020||0|0|
19	35	that covid test can kiss my ass the only thing going up my nose is cocaine|icyboyquick|Thu Dec 17 11:22:07 +0000 2020||0|0|
