	Page_ID	Tweet
0	16908	info nct cancelled pre recording kbs gayo daechukje make artist confirmed|jenrenpic|Thu Dec 17 10:11:28 +0000 2020||13|2|https://t.co/wA1YQmcv30
1	15179	nct cancelled pre recording kbs gayo daechukje undergo covid 19 test makeup|goKPOP|Thu Dec 17 10:18:18 +0000 2020|NCT |4|6|https://t.co/hRcnFzECjU
2	22405	all nct members test negative covid19 amp attend kbs gayo festival recordings today|allkpop|Fri Dec 18 02:05:30 +0000 2020||2768|325|https://t.co/nXdUCFt5it
3	12725	nct get tested covid|HCFlLES|Thu Dec 17 10:29:04 +0000 2020||0|0|
4	22287	all nct members test negative covid19 amp attend kbs gayo festival recordings today thank god|mirukukim|Fri Dec 18 02:16:40 +0000 2020|NCT |0|0|https://t.co/dMCcvTEKoh
5	13083	nct test covid|N4NALISM|Thu Dec 17 10:27:24 +0000 2020||0|0|
6	12663	praying circle nct dan|Illiegirlj|Thu Dec 17 10:29:20 +0000 2020||0|0|https://t.co/BhGysoHLZz
7	14895	ncts makeup artist came contact someone tested positive covid 19 nct cancelled pre|HAECHANASF|Thu Dec 17 10:19:29 +0000 2020||1|0|https://t.co/wLB286HEqI
8	9908	nct svt must go salon bc announced theyre getting tested bc someone salon got covid|CATB0YJUN|Thu Dec 17 10:41:12 +0000 2020||0|0|
9	3277	svt nct getting covid tests goodness|berrygoms|Thu Dec 17 11:08:19 +0000 2020||0|0|
10	10304	nct cancelled pre recording 2020 kbs song festival received covid 19 tests a staff makeup|theseoulstory|Thu Dec 17 10:39:29 +0000 2020||621|211|https://t.co/73Etv51MgG
11	639	hopefully nct members artists staffs test negative covid 19|TAEY0NGCULT|Thu Dec 17 11:19:34 +0000 2020||0|0|https://t.co/qMZ2frWTyN
12	14148	sm announces nct cancelled pre recording schedule kbs gayodaechukje tested covid 1|KoreanUpdates|Thu Dec 17 10:22:49 +0000 2020|NCT GayoDaechukje |42|23|https://t.co/ozGTj2qh0o
13	11887	sm ent announces nct cancelled pre recording kbs gayo daechukje today covid 19 tests one|boygroupszone|Thu Dec 17 10:32:17 +0000 2020||0|0|https://t.co/UMtshbdwCE
14	9684	praying staffs amp nct s covid test results negative|chenlespills|Thu Dec 17 10:42:12 +0000 2020||5|1|https://t.co/LO7psnSoRq
15	15934	nct cancel pre recordings kbs song festival today confirming ncts makeup visited salon p|buiingbang|Thu Dec 17 10:15:14 +0000 2020||14|6|https://t.co/Hn5FDgzgbu
16	2377	nct pre recording kbs gayo daechukje cancelled all members undergo covid 19 testing findin|sungchandaily|Thu Dec 17 11:12:05 +0000 2020||15|7|https://t.co/iCipGPZwod
17	6975	hope svt nct staffs would negative covid im really worried lord pls|seungkvs|Thu Dec 17 10:54:08 +0000 2020||0|0|
18	11461	nct testing covid again|interludemark|Thu Dec 17 10:34:21 +0000 2020||0|0|
19	15270	nct reportedly undergoing covid testing well they supposed appear kbs gayo tomorrow night|TamarWrites|Thu Dec 17 10:17:58 +0000 2020||1|1|https://t.co/PFzRs4BuOL
