	Page_ID	Tweet
0	22451	test results positive|strwberryjimi|Fri Dec 18 01:59:52 +0000 2020||1|0|
1	20655	who admits pcr test problem|Jay88541|Fri Dec 18 05:54:11 +0000 2020||1|1|https://t.co/uqMerqae5h
2	19140	test positive quarantine|OOhnuh_|Fri Dec 18 08:58:37 +0000 2020||2|0|
3	21346	positive pregnancy test|brookesgatina|Fri Dec 18 04:13:42 +0000 2020||0|0|
4	21235	if using pcr test positive anything|TheBendu1|Fri Dec 18 04:27:20 +0000 2020||0|0|
5	21258	oh test positive|CaityEliV|Fri Dec 18 04:23:48 +0000 2020||1|0|
6	19617	test positive though|OSnapItzShayla1|Fri Dec 18 08:03:01 +0000 2020||0|0|
7	24194	stay positive test negative|todmeisner|Thu Dec 17 22:59:43 +0000 2020||6|0|
8	22881	stay positive test negative|GeeWhizzOxley|Fri Dec 18 01:07:17 +0000 2020||1|0|
9	22198	stay positive test negative|nah_foo|Fri Dec 18 02:28:33 +0000 2020||0|0|
10	21695	stay positive test negative|Zhawk44|Fri Dec 18 03:32:40 +0000 2020||13|0|
11	21322	stay positive test negative|JonRothstein|Fri Dec 18 04:15:31 +0000 2020||208|12|
12	23607	sounds like false positive pcr test|Dugler1974|Thu Dec 17 23:50:59 +0000 2020||0|0|
13	23974	test came back positive|ginadweeb|Thu Dec 17 23:16:37 +0000 2020||1|0|
14	21195	a positive pcr test infection a positive pcr test infection a positive pcr test|DarthMods|Fri Dec 18 04:32:09 +0000 2020||1|0|https://t.co/zJeBzvEAAr
15	18549	juliahb1 when positive test positive test|MarkWeightman|Fri Dec 18 10:06:19 +0000 2020||0|0|
16	18623	remember 6 test positive pcr test real positives|beefyfarmer|Fri Dec 18 09:59:05 +0000 2020||0|0|
17	18619	skynews positive pcr test mean infectious|HagleyTom1234|Fri Dec 18 09:59:34 +0000 2020||0|0|
18	22353	who finally admits pcr tests create false positives|Quantum_Free|Fri Dec 18 02:10:20 +0000 2020||0|0|https://t.co/nTvPwZu06F
19	23269	ianmckellen pcr test 90 false positive rate|cycleJohn02|Fri Dec 18 00:25:08 +0000 2020||0|0|
