	Page_ID	Tweet
0	9	severe bottlenecks trade china rest world frustrating retailers shoppers europ|CASANOVA_JF|Thu Dec 17 11:22:14 +0000 2020||0|0|https://t.co/iX1vzvvZQ5
1	905	2020 s big winners losers covid 19 coronavirus china xijinping donaldtrump|wwaycorrigan|Thu Dec 17 11:18:24 +0000 2020|covid_19 coronavirus China XiJinping DonaldTrump |0|0|https://t.co/uT9aiFdKiq
2	769	2020 s big winners losers covid 19 coronavirus china xijinping donaldtrump|wwaycorrigan|Thu Dec 17 11:19:02 +0000 2020|covid_19 coronavirus China XiJinping DonaldTrump |0|0|https://t.co/uT9aiFdKiq
3	909	exclusive who led team expected china january probe covid 19 origins experts|inty_news|Thu Dec 17 11:18:22 +0000 2020||3|1|https://t.co/rvYOvV1jEw
4	381	borisjohnson i tell well i dont believe covid started china know uk got va|MrajAmazinggod|Thu Dec 17 11:20:40 +0000 2020||0|0|https://t.co/CN8jEaafoa
5	99	i contacted cabinet office offered buy machine china says marine firm owner given 5 million contract|AgnesClackett|Thu Dec 17 11:21:52 +0000 2020||0|0|https://t.co/gjgNjiJCfv
6	570	i taiwanese im tired china people bullying us you guys fun covid 19 aka wu han virus|laohanj|Thu Dec 17 11:19:55 +0000 2020||0|0|https://t.co/8GO3NH7S6N
7	438	i taiwanese im tired china people bullying us you guys fun covid 19 aka wu han virus|laohanj|Thu Dec 17 11:20:25 +0000 2020||0|0|https://t.co/bP4YmafNVf
8	445	puto covid|ceeciliarg|Thu Dec 17 11:20:22 +0000 2020||0|0|
9	279	covid risk|Crashmadness|Thu Dec 17 11:21:07 +0000 2020||0|0|
10	240	long covid|jpfallon27|Thu Dec 17 11:21:15 +0000 2020||0|0|https://t.co/spdqfgCtSV
11	960	realdonaldtrump are properly diagnosed covid or died causes blamed covid|Victori10859973|Thu Dec 17 11:18:09 +0000 2020||0|0|
12	910	covid restrictions think|oofchae|Thu Dec 17 11:18:21 +0000 2020||1|0|
13	811	covid domino effect|PieroCastellano|Thu Dec 17 11:18:49 +0000 2020||1|0|https://t.co/0jXjrsPhAt
14	784	will world covid|alexcampos650|Thu Dec 17 11:18:57 +0000 2020||0|0|
15	649	normalize catching covid|sexcjoonie|Thu Dec 17 11:19:31 +0000 2020||1|0|
16	447	macron got covid|sarpanderus|Thu Dec 17 11:20:21 +0000 2020||0|0|
17	380	wait covid vaccines|needymoni|Thu Dec 17 11:20:40 +0000 2020||1|0|
18	338	not since covid|siberianpine|Thu Dec 17 11:20:50 +0000 2020||0|0|
19	313	scheduling covid warriors done according well established covid protocols take|mybmcWardRS|Thu Dec 17 11:20:56 +0000 2020||0|0|https://t.co/bnaerRO1bP
