	Page_ID	Tweet
0	228	coronavirus vaccine countries ordered jabs|ThePharmaLetter|Thu Dec 17 11:21:17 +0000 2020||0|0|https://t.co/YLdQjUh2M7
1	616	there s coronavirus vaccine now what|randylewiskemp|Thu Dec 17 11:19:40 +0000 2020||0|0|https://t.co/9YZqytMcmX
2	376	will encouraging employees take coronavirus vaccine|hrmagazine|Thu Dec 17 11:20:41 +0000 2020||0|0|
3	446	pence publicly receive covid 19 vaccine friday|editorStopPress|Thu Dec 17 11:20:21 +0000 2020||0|0|https://t.co/MRCSoeL1V8
4	408	pediatricians want kids part covid vaccine trials|cafepharma|Thu Dec 17 11:20:33 +0000 2020||0|0|https://t.co/WLg86vIZMU
5	340	covid vaccine bonanza digital supply chain trackingindustry|US__News|Thu Dec 17 11:20:49 +0000 2020||0|0|https://t.co/Y7rbjWT9Ie
6	144	another nigerian woman gets covid 19 vaccine|Naijawapz1|Thu Dec 17 11:21:41 +0000 2020||0|0|https://t.co/RYb2nB4v4H
7	877	people 18 years cannot take covid 19 vaccine|BrownKaftan|Thu Dec 17 11:18:31 +0000 2020||0|0|
8	729	the meets today discuss approval moderna covid vaccine|nhpaulao|Thu Dec 17 11:19:08 +0000 2020||0|0|
9	634	netanyahu become first israeli receive covid 19 vaccine|PremiumTimesng|Thu Dec 17 11:19:35 +0000 2020||6|0|https://t.co/qnFHzLz53V
10	339	covid vaccine bonanza digital supply chain tracking industry|InvestingStockz|Thu Dec 17 11:20:49 +0000 2020||0|0|https://t.co/weIg9UybEB
11	270	lord rings star mckellen receives covid 19 vaccine|Edujandonblog|Thu Dec 17 11:21:08 +0000 2020||0|0|https://t.co/onOuEnJOBA
12	148	vietnam begins human trials covid 19 vaccine nanocovax|MurrayHiebert1|Thu Dec 17 11:21:38 +0000 2020|Vietnam Covid |0|0|https://t.co/3bpr8FiqEW
13	45	vietnam begins human trial home grown coronavirus vaccine|NigeriaNewsdesk|Thu Dec 17 11:22:05 +0000 2020||0|1|https://t.co/b5iZ9sEUZh
14	987	grandad got covid vaccine cant wait unlimited superfast 5g|_meganseymour_|Thu Dec 17 11:18:03 +0000 2020||0|0|
15	985	history drives black peoples distrust covid 19 vaccine commentary|OrlandoOpinion|Thu Dec 17 11:18:04 +0000 2020||0|0|https://t.co/vxoOjEZn0H
16	966	if youve ever eaten mcrib dont worry covid vaccine|KatianaGeneus|Thu Dec 17 11:18:08 +0000 2020||0|0|
17	970	playing with lives brazils covid vaccine plan is mired chaos|glaucocsilveira|Thu Dec 17 11:18:07 +0000 2020||0|0|https://t.co/P7N5eQb3MR
18	900	sir ian mckellen says feels euphoric receiving covid 19 vaccine|AttitudeMag|Thu Dec 17 11:18:25 +0000 2020||18|0|https://t.co/zkYR4V55hD
19	609	labeling confusion led wasted doses pfizer covid 19 vaccine stat|ScribbledCoffee|Thu Dec 17 11:19:42 +0000 2020||0|0|https://t.co/33Nh4JU0nE
