	Page_ID	Tweet
0	17	with viruses infected developed antibodies immune virus|Jer1dah|Thu Dec 17 11:22:13 +0000 2020||0|0|https://t.co/ukhjeKpi8e
1	621	saruhhhdanae well cancer mutation cells virus unlike covid fram|Be43282846|Thu Dec 17 11:19:37 +0000 2020||0|0|https://t.co/5DLyecsWxs
2	589	jenbrea as know complications every single virus what concerns|pamsterturk|Thu Dec 17 11:19:48 +0000 2020||0|0|https://t.co/8px6rIlyfA
3	220	claiming sir nestor team already clear virus covid worries i|rqlfrncsc|Thu Dec 17 11:21:19 +0000 2020||0|0|https://t.co/BcrvGfxjN2
4	806	alkcheet yardleyshooting flu virus moron people die flu covi|AnnaVic88472217|Thu Dec 17 11:18:50 +0000 2020||0|0|https://t.co/eJOD7rnxKS
5	481	it belief trump administration know vulnerable covid 19 virus would peopl|leach_bruce|Thu Dec 17 11:20:12 +0000 2020||0|0|https://t.co/0Sn8ARyRc8
6	724	just lost uncle two cousins virus we need say prayers goin 4 families w|BMusikk70|Thu Dec 17 11:19:08 +0000 2020||0|0|https://t.co/vYLq6sbZi3
7	20	of strategies keeping schools open maximum suppression virus best one schools operate|devisridhar|Thu Dec 17 11:22:12 +0000 2020||0|0|https://t.co/Izcc44Ez3f
8	570	i taiwanese im tired china people bullying us you guys fun covid 19 aka wu han virus|laohanj|Thu Dec 17 11:19:55 +0000 2020||0|0|https://t.co/8GO3NH7S6N
9	438	i taiwanese im tired china people bullying us you guys fun covid 19 aka wu han virus|laohanj|Thu Dec 17 11:20:25 +0000 2020||0|0|https://t.co/bP4YmafNVf
10	196	it seems like black friday might created complete covid chaos here the virus levels measure waste w|MikaelEliasson|Thu Dec 17 11:21:26 +0000 2020||0|0|https://t.co/zsFr4KaoNH
11	627	1 2 fact the pcr test cannot specifically identify only sars cov 2 the virus causes covid 19|photopro28|Thu Dec 17 11:19:36 +0000 2020||3|0|https://t.co/MvsOOFBwjf
12	228	coronavirus vaccine countries ordered jabs|ThePharmaLetter|Thu Dec 17 11:21:17 +0000 2020||0|0|https://t.co/YLdQjUh2M7
13	616	there s coronavirus vaccine now what|randylewiskemp|Thu Dec 17 11:19:40 +0000 2020||0|0|https://t.co/9YZqytMcmX
14	376	will encouraging employees take coronavirus vaccine|hrmagazine|Thu Dec 17 11:20:41 +0000 2020||0|0|
15	446	pence publicly receive covid 19 vaccine friday|editorStopPress|Thu Dec 17 11:20:21 +0000 2020||0|0|https://t.co/MRCSoeL1V8
16	408	pediatricians want kids part covid vaccine trials|cafepharma|Thu Dec 17 11:20:33 +0000 2020||0|0|https://t.co/WLg86vIZMU
17	340	covid vaccine bonanza digital supply chain trackingindustry|US__News|Thu Dec 17 11:20:49 +0000 2020||0|0|https://t.co/Y7rbjWT9Ie
18	144	another nigerian woman gets covid 19 vaccine|Naijawapz1|Thu Dec 17 11:21:41 +0000 2020||0|0|https://t.co/RYb2nB4v4H
19	877	people 18 years cannot take covid 19 vaccine|BrownKaftan|Thu Dec 17 11:18:31 +0000 2020||0|0|
