	Page_ID	Tweet
0	423	why trump declare covid illegal|angusparvo|Thu Dec 17 11:20:29 +0000 2020||0|0|https://t.co/sH5WbnWLhG
1	579	disgusting ivanka trump slammed tweet callous covid lockdowns|slipodatongue|Thu Dec 17 11:19:51 +0000 2020||0|0|https://t.co/DRgZBoF9H8
2	174	pelofsky lol is trump peaceful transfer power di|TPDMomof3|Thu Dec 17 11:21:32 +0000 2020||0|0|https://t.co/KHRCoCUEHb
3	516	chris cuomo tears trump administration covid herd immunity scandal|DailyMail|Thu Dec 17 11:20:06 +0000 2020||0|1|https://t.co/wG1KB0b6kR
4	524	aquarius1049 realdonaldtrump if congress extends eviction relief think trump|shangtwee|Thu Dec 17 11:20:04 +0000 2020||0|0|https://t.co/MEbp3GwbAj
5	106	oann trump lied us year coronavirus deadly contagious u|devinnunescon|Thu Dec 17 11:21:49 +0000 2020||0|0|https://t.co/vYJnFT2JUm
6	286	glimmers progress stimulus negotiations trump s pathetic election sideshow drags|joncoopertweets|Thu Dec 17 11:21:04 +0000 2020||3|2|https://t.co/plAz0rPAns
7	801	did trump kushner ignore blue state covid 19 testing deaths spiked|hailcrom1982|Thu Dec 17 11:18:52 +0000 2020||0|0|https://t.co/WYDomWr43w
8	779	trump carrying plan spread covid aid putin mocks suggest won a|mattoboston|Thu Dec 17 11:18:59 +0000 2020||0|0|https://t.co/OSv3rPpuer
9	481	it belief trump administration know vulnerable covid 19 virus would peopl|leach_bruce|Thu Dec 17 11:20:12 +0000 2020||0|0|https://t.co/0Sn8ARyRc8
10	475	president ex president law trump prosecuted mishandling covid 19|HoodedClone|Thu Dec 17 11:20:13 +0000 2020||0|0|
11	28	gop rep tests positive covid hours delivering pro trump speech congress|globalissuesweb|Thu Dec 17 11:22:08 +0000 2020||0|0|https://t.co/iJ29pB7DeW
12	534	player week texas trump officials get coronavirus vaccine friday biden panic|alt_brainnews|Thu Dec 17 11:20:02 +0000 2020||0|0|
13	263	what evangelicals find trump best president ever i religious raised environm|helmetgirl12|Thu Dec 17 11:21:09 +0000 2020||0|0|https://t.co/IAoAefVx4w
14	169	tbthursday 2017 bopping mask off up like trump keeping masks ha|LongAndOrder|Thu Dec 17 11:21:33 +0000 2020|TBThursday |0|0|https://t.co/Pe6WcNIgY7
15	2	heads government covid19 johnson bolsonaro lukashenko trump leaders bolivia guatemala hond|RossFootball|Thu Dec 17 11:22:16 +0000 2020|COVID19 |0|0|https://t.co/wX7LUURIk6
16	32	ivankatrump and yet got covid unlike many trump s admin funny that|Brokenpavement|Thu Dec 17 11:22:08 +0000 2020||0|0|
17	567	they wanted get sick cnns chris cuomo explodes revelations trump covid policy smartnews|cathy1854|Thu Dec 17 11:19:57 +0000 2020|SmartNews |0|0|https://t.co/z2blSmrsNj
18	366	trump penned political suicide note every covid press conference former australian pm says|DavidKhoury7|Thu Dec 17 11:20:43 +0000 2020||0|0|https://t.co/JXaeywhqQS
19	522	to honest i really pissed trump death pact w america it seems every|EsotericEffect|Thu Dec 17 11:20:05 +0000 2020||0|0|https://t.co/Pzc3LctSsE
