	Page_ID	Tweet
0	22451	test results positive|strwberryjimi|Fri Dec 18 01:59:52 +0000 2020||1|0|
1	21054	75 people counting test positive covid north carolina churchs christmas musical|thedailybeast|Fri Dec 18 04:52:11 +0000 2020||345|208|https://t.co/NWJ2eqYo4j
2	21193	75 people counting test positive covid after north carolina churchs christmas musical|maritaquinn19|Fri Dec 18 04:32:15 +0000 2020||0|0|https://t.co/DZhfz4dtIv
3	21032	75 people counting test positive covid after north carolina churchs christmas musical|Politics_PR|Fri Dec 18 04:56:02 +0000 2020||12|18|https://t.co/TphIEP4btJ
4	20936	75 people counting test positive covid after north carolina churchs christmas musical|zg4ever|Fri Dec 18 05:12:27 +0000 2020||2|2|https://t.co/qxMKFT0CwS
5	20824	75 people counting test positive covid after north carolina churchs christmas musical|Phishfsn519|Fri Dec 18 05:29:53 +0000 2020||1|1|https://t.co/YyzMKsDRns
6	20391	75 people counting test positive covid after north carolina churchs christmas musical|MotherOfMen_|Fri Dec 18 06:29:03 +0000 2020||0|0|https://t.co/Wv9Fz08VHf
7	20092	75 people counting test positive covid after north carolina churchs christmas musical|El_Grillo1|Fri Dec 18 07:08:30 +0000 2020||1|0|https://t.co/ikYdJmJMRo
8	20051	75 people counting test positive covid after north carolina churchs christmas musical|godfree_kd|Fri Dec 18 07:12:43 +0000 2020||1|1|https://t.co/vX1mHV3HDU
9	19924	75 people counting test positive covid after north carolina churchs christmas musical|GracieDogge|Fri Dec 18 07:27:05 +0000 2020||0|0|https://t.co/4xwG3lH2DK
10	19798	75 people counting test positive covid after north carolina churchs christmas musical|lyoshki|Fri Dec 18 07:43:49 +0000 2020||0|0|https://t.co/VoNnf3cAIp
11	19556	75 people counting test positive covid after north carolina churchs christmas musical|LaurieTMiller|Fri Dec 18 08:09:39 +0000 2020||0|0|https://t.co/t6pNbAvKQH
12	19180	75 people counting test positive covid after north carolina churchs christmas musical|BarbMccown|Fri Dec 18 08:54:00 +0000 2020||0|0|https://t.co/E6y8pr0Rai
13	19006	75 people counting test positive covid after north carolina churchs christmas musical|KadeKade100|Fri Dec 18 09:13:09 +0000 2020||0|0|https://t.co/cv38BazIhY
14	18502	75 people counting test positive covid after north carolina churchs christmas musical|NoahChuck|Fri Dec 18 10:11:50 +0000 2020||0|0|https://t.co/XGwkUmrlhQ
15	18188	75 people counting test positive covid after north carolina churchs christmas musical|Trout8Trout|Fri Dec 18 10:47:49 +0000 2020||0|0|https://t.co/SRGBwy6Yip
16	21047	75 people counting test positive covid after north carolina churchs christmas musical smartnews|OMAHAGEMGIRL|Fri Dec 18 04:53:42 +0000 2020|SmartNews |2|2|https://t.co/RaHxUpKkr2
17	20665	75 people counting test positive covid after north carolina churchs christmas musical smartnews|HarpSong|Fri Dec 18 05:52:57 +0000 2020|SmartNews |0|0|https://t.co/YkuDFQCzHb
18	20599	75 people counting test positive covid after north carolina churchs christmas musical smartnews|Terrae0218|Fri Dec 18 06:03:27 +0000 2020|SmartNews |0|0|https://t.co/k3RYwDLzhi
19	20443	75 people counting test positive covid after north carolina churchs christmas musical smartnews|gemluvr257|Fri Dec 18 06:23:00 +0000 2020|SmartNews |0|0|https://t.co/4KWpXY2fIJ
