	Page_ID	Tweet
0	8924	eu states start vaccinations 27 december|retromanie|Thu Dec 17 10:45:25 +0000 2020||0|0|https://t.co/66k09MUFpv
1	8774	eu states start vaccinations 27 december|aimeezun|Thu Dec 17 10:46:05 +0000 2020||0|1|https://t.co/NtiW6yVaOQ
2	17583	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|FujiiPonta|Thu Dec 17 10:08:34 +0000 2020||0|0|https://t.co/MBCfHBvUoo
3	15533	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|TIME|Thu Dec 17 10:16:56 +0000 2020||227|96|https://t.co/k06LqCIjpE
4	12132	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|PoliScrutiny101|Thu Dec 17 10:31:08 +0000 2020||0|0|https://t.co/N5nivXM24W
5	11677	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|WGME|Thu Dec 17 10:33:19 +0000 2020||0|0|https://t.co/gMS9PRcct5
6	10122	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|ABC7Chicago|Thu Dec 17 10:40:11 +0000 2020||2|0|https://t.co/YiBs2zSlMA
7	5528	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|WEAU13News|Thu Dec 17 11:00:04 +0000 2020||0|0|https://t.co/CUpx5bF4KB
8	5465	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|ABC30|Thu Dec 17 11:00:09 +0000 2020||0|0|https://t.co/KG8Wy9UT81
9	2046	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|WISH_TV|Thu Dec 17 11:13:40 +0000 2020||0|0|https://t.co/9kyfpRsKny
10	13148	french president emmanuel macron covid|FictionsofHaiti|Thu Dec 17 10:27:03 +0000 2020||0|0|https://t.co/p6El02nNiZ
11	13493	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thursday|moreton_matt|Thu Dec 17 10:25:36 +0000 2020||0|0|
12	11657	french president emmanuel macron tested positive covid 19 presidential elysee palace announced|FOX19|Thu Dec 17 10:33:25 +0000 2020||2|0|https://t.co/bfMuVoumHI
13	11172	french president emmanuel macron tested positive covid 19 presidential elysee|EAGLE7703874320|Thu Dec 17 10:35:34 +0000 2020||0|0|https://t.co/XayoVP6UAh
14	17951	french president emmanuel macron tested positive covid 19 french presidency said thursday dec 17|FujiiPonta|Thu Dec 17 10:06:55 +0000 2020||0|0|https://t.co/7pDXtSjO7y
15	14175	coronavirus updates december 17 coronavirus covid19|BelTel|Thu Dec 17 10:22:43 +0000 2020|coronavirus COVID19 |0|0|https://t.co/w9i4Xqz15J
16	16128	frances macron tested positive covid 19 presidency|US__News|Thu Dec 17 10:14:34 +0000 2020||0|0|https://t.co/SvJEKKW4Le
17	12448	positif covid|Denipa7|Thu Dec 17 10:30:04 +0000 2020||0|0|
18	16139	frances president macron tests positive covid|GreekReporter|Thu Dec 17 10:14:32 +0000 2020||0|0|https://t.co/QstAhjQMj9
19	16630	macron covid|6531933D|Thu Dec 17 10:12:37 +0000 2020||0|0|https://t.co/Wl2m3c8hkA
