	Page_ID	Tweet
0	726	the vaccination covid19 set kick december 27 december 29 eu|Breaking24Seven|Thu Dec 17 11:19:08 +0000 2020|Covid19 |1|0|https://t.co/Lo9EB75JbG
1	470	covid 19 positivity region specimen date 11th december|dontbetyet|Thu Dec 17 11:20:15 +0000 2020||0|0|https://t.co/LgAvDcinsA
2	547	covid 19 emergency situation report 24 3 16 december 2020|jncatron|Thu Dec 17 11:20:00 +0000 2020||0|0|https://t.co/9mUIqOx99H
3	658	breaking eu start covid 19 vaccinations december 27 von der leyen|AFP|Thu Dec 17 11:19:29 +0000 2020|BREAKING |16|14|https://t.co/IElRAfXBNX
4	853	european commission chief says eu vaccinations starting 27th 29th december covid19|newschambers|Thu Dec 17 11:18:37 +0000 2020|COVID19 |28|7|https://t.co/AWHvprIlvw
5	277	social restrictions eased 27th december allowing three households mix holidays a|ITVCentral|Thu Dec 17 11:21:07 +0000 2020||0|0|https://t.co/dcbOG5hhXa
6	852	on december 14 eugene woods president ceo atrium health witnessed teammates receiving first covid|KinneilC|Thu Dec 17 11:18:37 +0000 2020||0|0|https://t.co/QmDq4shHSS
7	416	staff enjoying a december to remember covid compliant staff luncheon fully catered served|Flamingo_Elem|Thu Dec 17 11:20:31 +0000 2020||0|0|https://t.co/bwQlWkIwck
8	67	the waves covid19 deaths december 16 2020 in france 289 germany 749 usa 3538 staysafe|Tayleme|Thu Dec 17 11:22:00 +0000 2020|Covid19 StaySafe |0|0|https://t.co/Sm2HYu5aaW
9	142	december 17 2020 6 19 am et 308 148 martyrs covid19 america may blessed memory bring us fut|Girlboxingnow|Thu Dec 17 11:21:41 +0000 2020|covid19 |0|0|https://t.co/hp4kGhFyZ2
10	146	your daily covid update last updated december 17 2020 11 18 gmt united states coronavirus cases 17 394|StepenEDufresne|Thu Dec 17 11:21:40 +0000 2020||0|0|https://t.co/KzhibY5YaO
11	445	puto covid|ceeciliarg|Thu Dec 17 11:20:22 +0000 2020||0|0|
12	279	covid risk|Crashmadness|Thu Dec 17 11:21:07 +0000 2020||0|0|
13	240	long covid|jpfallon27|Thu Dec 17 11:21:15 +0000 2020||0|0|https://t.co/spdqfgCtSV
14	960	realdonaldtrump are properly diagnosed covid or died causes blamed covid|Victori10859973|Thu Dec 17 11:18:09 +0000 2020||0|0|
15	910	covid restrictions think|oofchae|Thu Dec 17 11:18:21 +0000 2020||1|0|
16	811	covid domino effect|PieroCastellano|Thu Dec 17 11:18:49 +0000 2020||1|0|https://t.co/0jXjrsPhAt
17	784	will world covid|alexcampos650|Thu Dec 17 11:18:57 +0000 2020||0|0|
18	649	normalize catching covid|sexcjoonie|Thu Dec 17 11:19:31 +0000 2020||1|0|
19	447	macron got covid|sarpanderus|Thu Dec 17 11:20:21 +0000 2020||0|0|
