	Page_ID	Tweet
0	13148	french president emmanuel macron covid|FictionsofHaiti|Thu Dec 17 10:27:03 +0000 2020||0|0|https://t.co/p6El02nNiZ
1	17583	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|FujiiPonta|Thu Dec 17 10:08:34 +0000 2020||0|0|https://t.co/MBCfHBvUoo
2	15533	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|TIME|Thu Dec 17 10:16:56 +0000 2020||227|96|https://t.co/k06LqCIjpE
3	12132	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|PoliScrutiny101|Thu Dec 17 10:31:08 +0000 2020||0|0|https://t.co/N5nivXM24W
4	11677	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|WGME|Thu Dec 17 10:33:19 +0000 2020||0|0|https://t.co/gMS9PRcct5
5	10122	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|ABC7Chicago|Thu Dec 17 10:40:11 +0000 2020||2|0|https://t.co/YiBs2zSlMA
6	5528	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|WEAU13News|Thu Dec 17 11:00:04 +0000 2020||0|0|https://t.co/CUpx5bF4KB
7	5465	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|ABC30|Thu Dec 17 11:00:09 +0000 2020||0|0|https://t.co/KG8Wy9UT81
8	2046	french president emmanuel macron tested positive covid 19 presidential elysee palace announced thur|WISH_TV|Thu Dec 17 11:13:40 +0000 2020||0|0|https://t.co/9kyfpRsKny
9	17742	covid|MarkjbastinOUFC|Thu Dec 17 10:07:52 +0000 2020||0|0|https://t.co/yWXGrD9Lhm
10	15187	covid|zrrsnd|Thu Dec 17 10:18:15 +0000 2020||0|0|
11	14855	covid|AlexiWeskerOW|Thu Dec 17 10:19:39 +0000 2020||0|0|https://t.co/VqXH3EKObX
12	14656	covid|LukeWaring1|Thu Dec 17 10:20:27 +0000 2020||0|0|
13	14026	covid|alflavor|Thu Dec 17 10:23:14 +0000 2020||0|0|
14	13841	covid|jjongiedans|Thu Dec 17 10:24:06 +0000 2020||0|0|https://t.co/NY4FagqbhZ
15	13530	covid|Zee_Cong|Thu Dec 17 10:25:21 +0000 2020||0|0|
16	13048	covid|lightsnoor|Thu Dec 17 10:27:35 +0000 2020||1|0|
17	12554	covid|StYaoi|Thu Dec 17 10:29:51 +0000 2020||1|0|
18	12177	covid|RicHassani|Thu Dec 17 10:30:57 +0000 2020||1|0|
19	12110	covid|ZellikaOscar|Thu Dec 17 10:31:14 +0000 2020||0|0|
