	Page_ID	Tweet
0	22451	test results positive|strwberryjimi|Fri Dec 18 01:59:52 +0000 2020||1|0|
1	19140	test positive quarantine|OOhnuh_|Fri Dec 18 08:58:37 +0000 2020||2|0|
2	24194	stay positive test negative|todmeisner|Thu Dec 17 22:59:43 +0000 2020||6|0|
3	22881	stay positive test negative|GeeWhizzOxley|Fri Dec 18 01:07:17 +0000 2020||1|0|
4	22198	stay positive test negative|nah_foo|Fri Dec 18 02:28:33 +0000 2020||0|0|
5	21695	stay positive test negative|Zhawk44|Fri Dec 18 03:32:40 +0000 2020||13|0|
6	21322	stay positive test negative|JonRothstein|Fri Dec 18 04:15:31 +0000 2020||208|12|
7	21346	positive pregnancy test|brookesgatina|Fri Dec 18 04:13:42 +0000 2020||0|0|
8	21258	oh test positive|CaityEliV|Fri Dec 18 04:23:48 +0000 2020||1|0|
9	23974	test came back positive|ginadweeb|Thu Dec 17 23:16:37 +0000 2020||1|0|
10	19617	test positive though|OSnapItzShayla1|Fri Dec 18 08:03:01 +0000 2020||0|0|
11	18549	juliahb1 when positive test positive test|MarkWeightman|Fri Dec 18 10:06:19 +0000 2020||0|0|
12	21495	one positive test|bmverret|Fri Dec 18 03:56:41 +0000 2020||1|0|https://t.co/PnBKVwgbzt
13	21975	u test positive|1989ftdt|Fri Dec 18 02:55:48 +0000 2020||0|0|
14	22241	he test positive|ccorzine_831|Fri Dec 18 02:22:27 +0000 2020||1|0|
15	19453	test positive event|teamwangs|Fri Dec 18 08:22:51 +0000 2020||0|0|
16	18115	test positive now|alexa_warrior|Fri Dec 18 10:55:55 +0000 2020||0|0|
17	13083	nct test covid|N4NALISM|Thu Dec 17 10:27:24 +0000 2020||0|0|
18	23221	covid test negative|StayKrafty|Fri Dec 18 00:30:33 +0000 2020||5|0|
19	21152	negative covid test|HylandBecca|Fri Dec 18 04:37:29 +0000 2020||1|0|
