	Page_ID	Tweet
0	13148	french president emmanuel macron covid|FictionsofHaiti|Thu Dec 17 10:27:03 +0000 2020||0|0|https://t.co/p6El02nNiZ
1	1952	trump appointee pushed herd immunity strategy covid|Keihud|Thu Dec 17 11:14:02 +0000 2020||0|0|https://t.co/NIJJBJbIvb
2	5478	french president emmanuel macron infected covid 19|RottiAngela|Thu Dec 17 11:00:08 +0000 2020|Covid |2|1|https://t.co/8b7dQvurG3
3	17923	french president emmanuel macron tests positive covid|kawausofx|Thu Dec 17 10:07:03 +0000 2020||0|0|https://t.co/4cdlai8IHj
4	17882	emmanuel macron french president tests positive covid|_Nikohl|Thu Dec 17 10:07:13 +0000 2020||1|1|https://t.co/jVNTq9FGir
5	17840	french president emmanuel macron tests positive covid|macmaxmail|Thu Dec 17 10:07:26 +0000 2020||0|0|
6	17433	french president emmanuel macron tests positive covid|mortgageconsult|Thu Dec 17 10:09:14 +0000 2020||1|0|https://t.co/6CxS8qtbbx
7	17405	french president emmanuel macron tests positive covid|fpojournal|Thu Dec 17 10:09:23 +0000 2020||0|0|https://t.co/UWxpKV6RnS
8	17401	emmanuel macron french president tests positive covid|rnz_news|Thu Dec 17 10:09:24 +0000 2020||4|3|https://t.co/txZ09mFEaQ
9	17385	emmanuel macron french president tests positive covid|chilov|Thu Dec 17 10:09:29 +0000 2020||1|1|https://t.co/f8YeTRtaku
10	17127	emmanuel macron french president tests positive covid|swissbusiness|Thu Dec 17 10:10:32 +0000 2020||0|1|https://t.co/nRXCqzz6kh
11	16723	emmanuel macron french president tests positive covid|Trialanderror_v|Thu Dec 17 10:12:11 +0000 2020||0|0|https://t.co/5PNilrFa5t
12	16497	emmanuel macron french president tests positive covid|AmyH_88|Thu Dec 17 10:13:08 +0000 2020||2|0|https://t.co/W94JXboHfu
13	15543	french president emmanuel macron tests positive covid|bozzione|Thu Dec 17 10:16:54 +0000 2020||0|0|https://t.co/Xc6SxibqNq
14	15429	french president emmanuel macron tests positive covid|_Joy_R|Thu Dec 17 10:17:21 +0000 2020||0|0|https://t.co/d1ClT7MB3J
15	15272	emmanuel macron french president tests positive covid|MartinMcEdin|Thu Dec 17 10:17:58 +0000 2020||0|0|https://t.co/tVIeVGGVeh
16	15198	emmanuel macron french president tests positive covid|Blackgermans|Thu Dec 17 10:18:13 +0000 2020||1|1|https://t.co/iGbJPGveTl
17	15137	emmanuel macron french president tests positive covid|Torres_wondwart|Thu Dec 17 10:18:29 +0000 2020||0|0|https://t.co/mZlLl4IGK6
18	15098	emmanuel macron french president tests positive covid|Arden_Forester|Thu Dec 17 10:18:38 +0000 2020||0|0|https://t.co/jQw5QhUk4L
19	13462	emmanuel macron french president tests positive covid|omitbdf|Thu Dec 17 10:25:45 +0000 2020||1|1|https://t.co/OORfLTakOa
